"","Uninfected_blood_CD4+ Treg","Uninfected_blood_CD4+ Naive","Uninfected_blood_CD4+ EM","Uninfected_blood_CD4+ CTL","Uninfected_blood_CD4+ Proliferating","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Uninfected_brain_CD4+ CTL","Uninfected_brain_CD8+ Effector","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"JUNB (142g)",0.0281680700549077,0.161360136609749,0.111575409624636,0.0313949598475768,0.000935045521004763,0.118393066825913,0.319148713161058,0.116903008039753,0.0483525195001691,0.0377948369871542,0.107279856147042,0.0768833990534734,0.0490969364905041,0.0540980129708806
"GABPA (13g)",0.0183882897963165,0.0941110897846303,0.0618134215450902,0.0263684907894102,0.000813968923753627,0.0897836870753552,0.168899224482105,0.0647993590147601,0.0323300092000621,0.0278583057643124,0.136669712663554,0.108139219142691,0.0574356784489403,0.0573834835486476
"YY1 (15g)",0.0237541670255443,0.148977184741558,0.0919540192721676,0.0296176366776133,0.00114765228127256,0.115324532551204,0.284161128767235,0.103915399960789,0.0453310647071231,0.0366465617171233,0.117134308581248,0.0817362613308552,0.0483587244636531,0.0508748196344466
"SMARCA4 (23g)",0.0252226370817565,0.156742030033459,0.0970099636532893,0.0315792910652936,0.00112972243934772,0.114198870779133,0.275748404225951,0.0994841110558979,0.0413726033017777,0.044006541180673,0.127907445093583,0.0939049189619587,0.0719224869118502,0.0578259503795696
"MAX (10g)",0.0230654045453941,0.127835216967027,0.0818176356848391,0.0317264664097276,0.00151210805716506,0.111037133102302,0.235968204680193,0.0861510742992714,0.039946257730507,0.0290154860340625,0.136072460615394,0.0875853204521446,0.0480723465528103,0.0564635058982084
"ATF7 (30g)",0.0240543336693197,0.165868457326483,0.0986860363336178,0.0288319476235165,0.000966640142760156,0.0995502619633174,0.278208491392694,0.100942004243588,0.0366823294745624,0.0303812019880658,0.135955057893126,0.0952741889353224,0.0406314128228282,0.0454763471816366
"ATF6 (22g)",0.0284248383887113,0.149312689996113,0.0990485045090005,0.0304458410401036,0.000937613090337241,0.106681503480139,0.266626623809947,0.0953493965897585,0.0408738466613322,0.0339186519213414,0.141766902345414,0.0943918936649002,0.0481074083284736,0.0520876632446509
"STAT2 (19g)",0.0234753927969547,0.112357928980549,0.0843136249777411,0.0343290085003587,0.00146305161271731,0.132148995326473,0.23729604195432,0.100298073309996,0.0424208623655201,0.0422843414223386,0.156906221278511,0.109453387037549,0.0596463354526614,0.0576654764753277
"IRF2 (108g)",0.0266720628972886,0.146904123670045,0.101206775683884,0.0347697562901558,0.00128281003502917,0.122098095028126,0.27091250713823,0.104899298184205,0.0454317757928803,0.0376435755441736,0.150331469995516,0.111500982753561,0.0602587635735006,0.0562510457788465
"SREBF2 (49g)",0.0249385052904679,0.128518589517365,0.0987786480017282,0.0313078101637769,0.00133118518114739,0.124389945784714,0.212672516260714,0.0980612761771973,0.0379150722571409,0.0424294107846068,0.186142409489729,0.127795930932012,0.0561976399214679,0.0645146146184806
"POLR2A (197g)",0.0254753129492076,0.143657938477325,0.0994469314212464,0.0336604188392815,0.00101983100500358,0.117161468779148,0.263073547128165,0.0950794249549719,0.0400246696461719,0.0348025556006201,0.166911728660889,0.121114092881485,0.0627063141999589,0.0673683353804655
"RELB (83g)",0.02821890781791,0.132562052960259,0.106655134031156,0.0346852998597641,0.00135815745426715,0.113554058841549,0.258694124271554,0.105971141009414,0.0462849239644598,0.032928341040659,0.140543494441057,0.138271590339074,0.0730396089326539,0.0609285231520491
"STAT5A (17g)",0.02881353031018,0.137243721379927,0.102750940574497,0.0358511278117126,0.00089269087795163,0.0966677603500063,0.241961006970174,0.101230758610224,0.0480166368035686,0.0257740229047831,0.124926605526303,0.11345369007529,0.0511616796034999,0.0487517610324062
"IRF1 (19g)",0.0255187306984628,0.11914900387712,0.0975644455681097,0.0412511516605605,0.00137934085061608,0.139748328990275,0.234575892131719,0.0935831064395758,0.043836022227145,0.0429148808725807,0.143088120894063,0.107855499109464,0.066186807609802,0.0674157190339087
"IRF7 (21g)",0.0244557730025943,0.121640424940349,0.096298582836769,0.0330567368552543,0.00083648469467057,0.112135980806811,0.294000667918206,0.117621482734289,0.0517745839010467,0.0282573978995343,0.101491073625532,0.0730507361781726,0.0489373493457077,0.0469915948698674
"STAT1 (153g)",0.0272876977868127,0.126245248204094,0.0999524949195718,0.0382394825737364,0.00124578069293813,0.141660165291832,0.266471069195103,0.11061074580599,0.0496874885618559,0.0422887651588829,0.129232682004773,0.0955101081669568,0.0751946954084973,0.071745870752849
"RELA (10g)",0.020396018560199,0.11150317426492,0.0895481794935686,0.0348897820249382,0.00180846009975455,0.126303425420002,0.245412659453941,0.105581024925946,0.0417463952993051,0.0505806547836618,0.116854573499392,0.0847235860978435,0.0574212313739944,0.0637194803185578
"PBX3 (100g)",0.0236784969941579,0.135859859217993,0.093633088389279,0.0313569861069217,0.00160313549298896,0.129215355888527,0.28437200141095,0.106148196400639,0.044421662523552,0.0699173322555202,0.137360957858352,0.10020662720347,0.057166986431154,0.0572958881516878
"POLE3 (11g)",0.015168658777844,0.0946010562996427,0.0562418239414717,0.0222456346578594,0.00261361879275035,0.0836465311006142,0.19502761514399,0.068844395015411,0.0329583472977919,0.110215426431643,0.101582273029649,0.087087799713815,0.0582279684405754,0.0516297762002589
"ELF2 (28g)",0.0235575558485595,0.137635350684204,0.102591793826814,0.034104598358169,0.00107095499055587,0.125658703651173,0.2511534795304,0.105457627449271,0.0419135115993858,0.0488745607712615,0.140289779684623,0.099811140657083,0.0568154271629592,0.0584534401777154
